id,shopCode,sku,productName,type,quantityBefore,quantityChange,quantityAfter,reason,timestamp,createdAt
"mov_322b037ln","MAIN","PER-SHAMPOO-200ML","Shampoo (200ml)","initial","0","68","68","Initial store inventory upload","2026-07-21T06:26:56.254Z","2026-07-21T06:26:56.254Z"
"mov_2yokrdvb3","MAIN","PER-TOOTHPASTE","Toothpaste (120g)","initial","0","107","107","Initial store inventory upload","2026-07-24T09:28:27.254Z","2026-07-24T09:28:27.254Z"
"mov_46jc9p474","MAIN","PER-TISSUE","Tissue Box (150s)","initial","0","30","30","Initial store inventory upload","2026-07-27T13:00:00.254Z","2026-07-27T13:00:00.254Z"
"mov_fsjlhvhsf","MAIN","PER-DETERGENT-1KG","Laundry Detergent (1kg)","initial","0","104","104","Initial store inventory upload","2026-07-12T07:40:54.254Z","2026-07-12T07:40:54.254Z"
"mov_tcmq5512d","MAIN","PER-FACEWASH","Face Wash (100ml)","initial","0","82","82","Initial store inventory upload","2026-07-10T06:38:20.254Z","2026-07-10T06:38:20.254Z"
"mov_fkrs654kx","MAIN","ELE-USB-32GB","USB Flash Drive 32GB","initial","0","77","77","Initial store inventory upload","2026-08-01T07:14:02.254Z","2026-08-01T07:14:02.254Z"
"mov_yxn04sgnx","MAIN","ELE-CABLE-C","Type-C Charging Cable","initial","0","57","57","Initial store inventory upload","2026-07-31T09:24:35.254Z","2026-07-31T09:24:35.254Z"
"mov_l2yp36xkd","MAIN","ELE-EARBUDS","Wireless Earbuds","initial","0","63","63","Initial store inventory upload","2026-07-10T15:37:28.254Z","2026-07-10T15:37:28.254Z"
"mov_fa0vzk78r","MAIN","ELE-POWERBANK","Power Bank (10000mAh)","initial","0","60","60","Initial store inventory upload","2026-07-09T04:33:52.254Z","2026-07-09T04:33:52.254Z"
"mov_rt39jsmjr","MAIN","ELE-CHARGER","Wall Charger (18W)","initial","0","50","50","Initial store inventory upload","2026-07-24T04:47:10.254Z","2026-07-24T04:47:10.254Z"
"mov_e7txtrg6o","BR-02","GRO-RICE-5KG","Rice (5kg)","initial","0","65","65","Initial store inventory upload","2026-08-01T16:29:18.255Z","2026-08-01T16:29:18.255Z"
"mov_p0dne71p1","BR-02","GRO-OIL-1L","Cooking Oil (1L)","initial","0","34","34","Initial store inventory upload","2026-07-09T09:02:49.255Z","2026-07-09T09:02:49.255Z"
"mov_ak01jmo1a","BR-02","GRO-FLOUR-10KG","Wheat Flour (10kg)","initial","0","16","16","Initial store inventory upload","2026-08-09T15:32:41.255Z","2026-08-09T15:32:41.255Z"
"mov_9900fts2q","BR-02","GRO-MILK-1L","Milk Pack (1L)","initial","0","48","48","Initial store inventory upload","2026-08-02T11:08:02.255Z","2026-08-02T11:08:02.255Z"
"mov_9jlrt41d2","BR-02","GRO-BISCUIT-FAM","Biscuits (Family Pack)","initial","0","38","38","Initial store inventory upload","2026-07-17T13:19:48.255Z","2026-07-17T13:19:48.255Z"
"mov_xzjme9saj","BR-02","GRO-TEA-900G","Tea (900g)","initial","0","78","78","Initial store inventory upload","2026-08-10T08:45:42.255Z","2026-08-10T08:45:42.255Z"
"mov_lbx9j7lyd","BR-02","GRO-SUGAR-1KG","Sugar (1kg)","initial","0","78","78","Initial store inventory upload","2026-07-29T04:38:06.255Z","2026-07-29T04:38:06.255Z"
"mov_b9onro1eo","BR-02","GRO-LENTIL-1KG","Daal Chana (1kg)","initial","0","43","43","Initial store inventory upload","2026-07-18T04:16:48.255Z","2026-07-18T04:16:48.255Z"
"mov_7s88ao41t","BR-02","BEV-WATER-1.5L","Mineral Water (1.5L)","initial","0","63","63","Initial store inventory upload","2026-08-05T07:02:21.255Z","2026-08-05T07:02:21.255Z"
"mov_g0pjwzudb","BR-02","BEV-COLA-1.5L","Cola Soft Drink (1.5L)","initial","0","58","58","Initial store inventory upload","2026-08-04T03:48:08.255Z","2026-08-04T03:48:08.255Z"
"mov_s7i4ker9v","BR-02","BEV-JUICE-1L","Mango Juice (1L)","initial","0","18","18","Initial store inventory upload","2026-07-30T03:04:14.255Z","2026-07-30T03:04:14.255Z"
"mov_f2wzjextq","BR-02","BEV-CHIPS-L","Potato Chips (Large)","initial","0","100","100","Initial store inventory upload","2026-08-06T07:49:03.255Z","2026-08-06T07:49:03.255Z"
"mov_drr37o07j","BR-02","BEV-CHOC-BAR","Chocolate Bar (50g)","initial","0","111","111","Initial store inventory upload","2026-07-21T10:24:48.255Z","2026-07-21T10:24:48.255Z"
"mov_3s37jpxyy","BR-02","BEV-ENERGY-250ML","Energy Drink (250ml)","initial","0","17","17","Initial store inventory upload","2026-07-11T05:29:28.255Z","2026-07-11T05:29:28.255Z"
"mov_jjml88u4q","BR-02","PER-SOAP","Hand Soap (100g)","initial","0","16","16","Initial store inventory upload","2026-08-07T03:07:14.255Z","2026-08-07T03:07:14.255Z"
"mov_tr6bfkmbw","BR-02","PER-SHAMPOO-200ML","Shampoo (200ml)","initial","0","98","98","Initial store inventory upload","2026-07-19T12:08:38.255Z","2026-07-19T12:08:38.255Z"
"mov_fxsw9czn2","BR-02","PER-TOOTHPASTE","Toothpaste (120g)","initial","0","61","61","Initial store inventory upload","2026-08-09T16:59:05.255Z","2026-08-09T16:59:05.255Z"
"mov_ytsjcpwlw","BR-02","PER-TISSUE","Tissue Box (150s)","initial","0","19","19","Initial store inventory upload","2026-07-07T05:30:17.255Z","2026-07-07T05:30:17.255Z"
"mov_p675fdmtm","BR-02","PER-DETERGENT-1KG","Laundry Detergent (1kg)","initial","0","110","110","Initial store inventory upload","2026-07-10T11:48:26.255Z","2026-07-10T11:48:26.255Z"
"mov_1dw4awph3","BR-02","PER-FACEWASH","Face Wash (100ml)","initial","0","105","105","Initial store inventory upload","2026-08-02T10:28:40.255Z","2026-08-02T10:28:40.255Z"
"mov_a4xhcqhaz","BR-02","ELE-USB-32GB","USB Flash Drive 32GB","initial","0","95","95","Initial store inventory upload","2026-07-17T15:14:50.255Z","2026-07-17T15:14:50.255Z"
"mov_o51hbf5nj","BR-02","ELE-CABLE-C","Type-C Charging Cable","initial","0","84","84","Initial store inventory upload","2026-08-06T13:23:51.255Z","2026-08-06T13:23:51.255Z"
"mov_9uq6c2zxm","BR-02","ELE-EARBUDS","Wireless Earbuds","initial","0","44","44","Initial store inventory upload","2026-07-31T06:54:42.255Z","2026-07-31T06:54:42.255Z"
"mov_ovracbht7","BR-02","ELE-POWERBANK","Power Bank (10000mAh)","initial","0","46","46","Initial store inventory upload","2026-08-06T10:09:27.255Z","2026-08-06T10:09:27.255Z"
"mov_bxu4kku8k","BR-02","ELE-CHARGER","Wall Charger (18W)","initial","0","82","82","Initial store inventory upload","2026-08-08T04:31:31.255Z","2026-08-08T04:31:31.255Z"
"mov_62jh0i899","BR-03","GRO-RICE-5KG","Rice (5kg)","initial","0","48","48","Initial store inventory upload","2026-08-04T09:36:23.255Z","2026-08-04T09:36:23.255Z"
"mov_r0de1aghi","BR-03","GRO-OIL-1L","Cooking Oil (1L)","initial","0","89","89","Initial store inventory upload","2026-07-10T16:31:11.255Z","2026-07-10T16:31:11.255Z"
"mov_eisbl4akk","BR-03","GRO-FLOUR-10KG","Wheat Flour (10kg)","initial","0","119","119","Initial store inventory upload","2026-07-09T08:12:15.255Z","2026-07-09T08:12:15.255Z"
"mov_b17bzy5oe","BR-03","GRO-MILK-1L","Milk Pack (1L)","initial","0","67","67","Initial store inventory upload","2026-08-08T12:28:48.255Z","2026-08-08T12:28:48.255Z"
"mov_xcddnpqbp","BR-03","GRO-BISCUIT-FAM","Biscuits (Family Pack)","initial","0","106","106","Initial store inventory upload","2026-08-10T16:47:04.255Z","2026-08-10T16:47:04.255Z"
"mov_f79tpjal9","BR-03","GRO-TEA-900G","Tea (900g)","initial","0","102","102","Initial store inventory upload","2026-08-09T08:24:44.255Z","2026-08-09T08:24:44.255Z"
"mov_71vmrkxy5","BR-03","GRO-SUGAR-1KG","Sugar (1kg)","initial","0","90","90","Initial store inventory upload","2026-08-05T10:08:16.255Z","2026-08-05T10:08:16.255Z"
"mov_x9g9tied0","BR-03","GRO-LENTIL-1KG","Daal Chana (1kg)","initial","0","116","116","Initial store inventory upload","2026-07-31T15:20:52.255Z","2026-07-31T15:20:52.255Z"
"mov_5t0vwe3fn","BR-03","BEV-WATER-1.5L","Mineral Water (1.5L)","initial","0","66","66","Initial store inventory upload","2026-07-18T06:31:29.255Z","2026-07-18T06:31:29.255Z"
"mov_sbdnlucip","BR-03","BEV-COLA-1.5L","Cola Soft Drink (1.5L)","initial","0","55","55","Initial store inventory upload","2026-07-22T09:40:39.255Z","2026-07-22T09:40:39.255Z"
"mov_ui448nb6h","BR-03","BEV-JUICE-1L","Mango Juice (1L)","initial","0","38","38","Initial store inventory upload","2026-07-14T11:08:30.255Z","2026-07-14T11:08:30.255Z"
"mov_fylnzkdy6","BR-03","BEV-CHIPS-L","Potato Chips (Large)","initial","0","33","33","Initial store inventory upload","2026-07-14T08:11:08.255Z","2026-07-14T08:11:08.255Z"
"mov_c42w6cqrj","BR-03","BEV-CHOC-BAR","Chocolate Bar (50g)","initial","0","52","52","Initial store inventory upload","2026-07-24T09:46:10.255Z","2026-07-24T09:46:10.255Z"
"mov_jkwnkz6vv","BR-03","BEV-ENERGY-250ML","Energy Drink (250ml)","initial","0","110","110","Initial store inventory upload","2026-07-19T03:41:08.255Z","2026-07-19T03:41:08.255Z"
"mov_nrcqccgxg","BR-03","PER-SOAP","Hand Soap (100g)","initial","0","56","56","Initial store inventory upload","2026-07-07T15:26:54.255Z","2026-07-07T15:26:54.255Z"
"mov_z5f6m0tam","BR-03","PER-SHAMPOO-200ML","Shampoo (200ml)","initial","0","20","20","Initial store inventory upload","2026-08-09T14:00:27.255Z","2026-08-09T14:00:27.255Z"
"mov_4o51dvyx9","BR-03","PER-TOOTHPASTE","Toothpaste (120g)","initial","0","55","55","Initial store inventory upload","2026-07-17T08:31:39.255Z","2026-07-17T08:31:39.255Z"
"mov_tjb84fr83","BR-03","PER-TISSUE","Tissue Box (150s)","initial","0","62","62","Initial store inventory upload","2026-08-10T10:48:15.255Z","2026-08-10T10:48:15.255Z"
"mov_fwifwsgl8","BR-03","PER-DETERGENT-1KG","Laundry Detergent (1kg)","initial","0","24","24","Initial store inventory upload","2026-07-22T12:53:48.255Z","2026-07-22T12:53:48.255Z"
"mov_xarshd64s","BR-03","PER-FACEWASH","Face Wash (100ml)","initial","0","118","118","Initial store inventory upload","2026-07-20T09:13:49.255Z","2026-07-20T09:13:49.255Z"
"mov_7yh7buhpg","BR-03","ELE-USB-32GB","USB Flash Drive 32GB","initial","0","55","55","Initial store inventory upload","2026-07-24T08:10:57.255Z","2026-07-24T08:10:57.255Z"
"mov_5j65kashf","BR-03","ELE-CABLE-C","Type-C Charging Cable","initial","0","84","84","Initial store inventory upload","2026-08-08T06:27:28.255Z","2026-08-08T06:27:28.255Z"
"mov_h7234mb9h","BR-03","ELE-EARBUDS","Wireless Earbuds","initial","0","54","54","Initial store inventory upload","2026-07-07T11:18:07.255Z","2026-07-07T11:18:07.255Z"
"mov_1tkfz6u9u","BR-03","ELE-POWERBANK","Power Bank (10000mAh)","initial","0","69","69","Initial store inventory upload","2026-07-11T12:50:27.255Z","2026-07-11T12:50:27.255Z"
"mov_h4grqtdzz","BR-03","ELE-CHARGER","Wall Charger (18W)","initial","0","115","115","Initial store inventory upload","2026-07-09T08:42:59.255Z","2026-07-09T08:42:59.255Z"
"mov_eb3xyr2yx","MAIN","GRO-FLOUR-10KG","Wheat Flour (10kg)","sale","83","-3","80","Customer Sale","2026-07-28T09:57:16.263Z","2026-07-28T09:57:16.263Z"
"mov_8uisyctrb","MAIN","GRO-BISCUIT-FAM","Biscuits (Family Pack)","sale","70","-4","66","Customer Sale","2026-07-28T09:57:16.263Z","2026-07-28T09:57:16.263Z"
"mov_u0ujk6195","MAIN","PER-SOAP","Hand Soap (100g)","sale","56","-1","55","Customer Sale","2026-07-28T09:57:16.263Z","2026-07-28T09:57:16.263Z"
"mov_1ftreebof","MAIN","ELE-EARBUDS","Wireless Earbuds","sale","63","-4","59","Customer Sale","2026-07-28T09:57:16.263Z","2026-07-28T09:57:16.263Z"
"mov_kls8k8swl","BR-02","PER-FACEWASH","Face Wash (100ml)","sale","105","-1","104","Customer Sale","2026-08-06T06:34:01.263Z","2026-08-06T06:34:01.263Z"
"mov_e6lfetf7p","BR-02","ELE-CABLE-C","Type-C Charging Cable","sale","84","-4","80","Customer Sale","2026-08-06T06:34:01.263Z","2026-08-06T06:34:01.263Z"
"mov_hc3y63xuh","BR-02","PER-SHAMPOO-200ML","Shampoo (200ml)","sale","98","-3","95","Customer Sale","2026-08-06T06:34:01.263Z","2026-08-06T06:34:01.263Z"
"mov_7rc9r2hs0","BR-02","GRO-FLOUR-10KG","Wheat Flour (10kg)","sale","16","-1","15","Customer Sale","2026-08-06T06:34:01.263Z","2026-08-06T06:34:01.263Z"
"mov_hao6p4zs1","BR-02","ELE-CABLE-C","Type-C Charging Cable","sale","80","-1","79","Customer Sale","2026-08-06T06:34:01.263Z","2026-08-06T06:34:01.263Z"
"mov_u300y7rxh","BR-02","ELE-POWERBANK","Power Bank (10000mAh)","sale","46","-2","44","Customer Sale","2026-08-06T06:34:01.263Z","2026-08-06T06:34:01.263Z"
"mov_x3ccuuoek","BR-03","GRO-OIL-1L","Cooking Oil (1L)","sale","89","-4","85","Customer Sale","2026-07-13T06:31:59.263Z","2026-07-13T06:31:59.263Z"
"mov_8lfdjf1m3","BR-03","PER-SHAMPOO-200ML","Shampoo (200ml)","sale","20","-3","17","Customer Sale","2026-07-13T06:31:59.263Z","2026-07-13T06:31:59.263Z"
"mov_tajvtfz5u","BR-03","BEV-CHOC-BAR","Chocolate Bar (50g)","sale","52","-1","51","Customer Sale","2026-07-13T06:31:59.263Z","2026-07-13T06:31:59.263Z"
"mov_0n1f72bbp","BR-03","BEV-CHOC-BAR","Chocolate Bar (50g)","sale","51","-1","50","Customer Sale","2026-07-29T13:54:56.264Z","2026-07-29T13:54:56.264Z"
"mov_40udjvu1u","BR-03","BEV-JUICE-1L","Mango Juice (1L)","sale","38","-2","36","Customer Sale","2026-07-29T13:54:56.264Z","2026-07-29T13:54:56.264Z"
"mov_9rgqbepqo","BR-03","ELE-EARBUDS","Wireless Earbuds","sale","54","-2","52","Customer Sale","2026-07-29T13:54:56.264Z","2026-07-29T13:54:56.264Z"
"mov_1l1t8sggb","BR-02","PER-FACEWASH","Face Wash (100ml)","sale","104","-3","101","Customer Sale","2026-07-30T10:48:41.264Z","2026-07-30T10:48:41.264Z"
"mov_lxk3terqc","BR-02","GRO-OIL-1L","Cooking Oil (1L)","sale","34","-4","30","Customer Sale","2026-07-30T10:48:41.264Z","2026-07-30T10:48:41.264Z"
"mov_ovkuzuv4h","BR-02","GRO-BISCUIT-FAM","Biscuits (Family Pack)","sale","38","-1","37","Customer Sale","2026-07-30T10:48:41.264Z","2026-07-30T10:48:41.264Z"
"mov_3eul1mt8j","BR-02","GRO-FLOUR-10KG","Wheat Flour (10kg)","sale","15","-2","13","Customer Sale","2026-07-30T10:48:41.264Z","2026-07-30T10:48:41.264Z"
"mov_nuimrqkrv","BR-02","GRO-LENTIL-1KG","Daal Chana (1kg)","sale","43","-4","39","Customer Sale","2026-07-22T07:52:13.264Z","2026-07-22T07:52:13.264Z"
"mov_wv4u0vyx7","BR-02","PER-SOAP","Hand Soap (100g)","sale","16","-2","14","Customer Sale","2026-07-22T07:52:13.264Z","2026-07-22T07:52:13.264Z"
"mov_27h1xk0t3","BR-02","GRO-FLOUR-10KG","Wheat Flour (10kg)","sale","13","-4","9","Customer Sale","2026-07-22T07:52:13.264Z","2026-07-22T07:52:13.264Z"
"mov_u2owa66a3","BR-02","GRO-MILK-1L","Milk Pack (1L)","sale","48","-3","45","Customer Sale","2026-07-22T07:52:13.264Z","2026-07-22T07:52:13.264Z"
"mov_a5ocu2c3k","BR-02","BEV-JUICE-1L","Mango Juice (1L)","sale","18","-3","15","Customer Sale","2026-07-22T07:52:13.264Z","2026-07-22T07:52:13.264Z"
"mov_2is65lx22","BR-02","GRO-BISCUIT-FAM","Biscuits (Family Pack)","sale","37","-2","35","Customer Sale","2026-07-19T15:33:39.264Z","2026-07-19T15:33:39.264Z"
"mov_juh4k7cp1","BR-02","ELE-USB-32GB","USB Flash Drive 32GB","sale","95","-3","92","Customer Sale","2026-07-19T15:33:39.264Z","2026-07-19T15:33:39.264Z"
"mov_dv0gqoaie","BR-03","PER-SHAMPOO-200ML","Shampoo (200ml)","sale","17","-2","15","Customer Sale","2026-07-28T07:49:52.264Z","2026-07-28T07:49:52.264Z"
"mov_1sc24nkp0","BR-03","PER-SOAP","Hand Soap (100g)","sale","56","-4","52","Customer Sale","2026-07-28T07:49:52.264Z","2026-07-28T07:49:52.264Z"
"mov_p69jnupxb","BR-03","GRO-BISCUIT-FAM","Biscuits (Family Pack)","sale","106","-1","105","Customer Sale","2026-07-28T07:49:52.264Z","2026-07-28T07:49:52.264Z"
"mov_a8arc30sd","BR-03","GRO-BISCUIT-FAM","Biscuits (Family Pack)","sale","105","-3","102","Customer Sale","2026-07-28T07:49:52.264Z","2026-07-28T07:49:52.264Z"
"mov_t2ubhhz3c","MAIN","GRO-OIL-1L","Cooking Oil (1L)","sale","90","-3","87","Customer Sale","2026-07-25T03:34:30.264Z","2026-07-25T03:34:30.264Z"
"mov_suot7ebqc","MAIN","BEV-COLA-1.5L","Cola Soft Drink (1.5L)","sale","88","-1","87","Customer Sale","2026-07-25T03:34:30.264Z","2026-07-25T03:34:30.264Z"
"mov_j1eueyh0r","MAIN","GRO-SUGAR-1KG","Sugar (1kg)","sale","53","-2","51","Customer Sale","2026-07-25T03:34:30.264Z","2026-07-25T03:34:30.264Z"
"mov_v3naqwvum","MAIN","BEV-CHIPS-L","Potato Chips (Large)","sale","27","-1","26","Customer Sale","2026-07-25T03:34:30.264Z","2026-07-25T03:34:30.264Z"
"mov_ok7oz4w4n","MAIN","BEV-WATER-1.5L","Mineral Water (1.5L)","sale","108","-3","105","Customer Sale","2026-07-25T03:34:30.264Z","2026-07-25T03:34:30.264Z"
"mov_sm5ftqzk4","MAIN","ELE-EARBUDS","Wireless Earbuds","sale","59","-1","58","Customer Sale","2026-07-25T03:34:30.264Z","2026-07-25T03:34:30.264Z"
"mov_2ez7otxyp","BR-02","PER-TISSUE","Tissue Box (150s)","sale","19","-2","17","Customer Sale","2026-07-29T16:58:37.264Z","2026-07-29T16:58:37.264Z"
"mov_ym469our4","BR-02","BEV-WATER-1.5L","Mineral Water (1.5L)","sale","63","-2","61","Customer Sale","2026-07-29T16:58:37.264Z","2026-07-29T16:58:37.264Z"
"mov_vgnnou12s","BR-02","BEV-ENERGY-250ML","Energy Drink (250ml)","sale","17","-1","16","Customer Sale","2026-07-29T16:58:37.264Z","2026-07-29T16:58:37.264Z"
"mov_wue80m9p7","BR-02","PER-SHAMPOO-200ML","Shampoo (200ml)","sale","95","-1","94","Customer Sale","2026-07-29T16:58:37.264Z","2026-07-29T16:58:37.264Z"
"mov_6h290rwn3","BR-02","PER-TISSUE","Tissue Box (150s)","sale","17","-1","16","Customer Sale","2026-07-29T16:58:37.264Z","2026-07-29T16:58:37.264Z"
"mov_djvff6udr","MAIN","BEV-CHOC-BAR","Chocolate Bar (50g)","sale","81","-3","78","Customer Sale","2026-08-07T11:42:10.264Z","2026-08-07T11:42:10.264Z"
"mov_rdjc5t24c","MAIN","ELE-POWERBANK","Power Bank (10000mAh)","sale","60","-4","56","Customer Sale","2026-08-07T11:42:10.264Z","2026-08-07T11:42:10.264Z"
"mov_k3om51yuv","MAIN","BEV-COLA-1.5L","Cola Soft Drink (1.5L)","sale","87","-2","85","Customer Sale","2026-08-07T11:42:10.264Z","2026-08-07T11:42:10.264Z"
"mov_y93d1d6qh","MAIN","BEV-ENERGY-250ML","Energy Drink (250ml)","sale","90","-3","87","Customer Sale","2026-08-07T11:42:10.264Z","2026-08-07T11:42:10.264Z"
"mov_d5lhemh1h","MAIN","BEV-CHOC-BAR","Chocolate Bar (50g)","sale","78","-2","76","Customer Sale","2026-08-07T11:42:10.264Z","2026-08-07T11:42:10.264Z"
"mov_qcvtkgtvf","BR-03","BEV-JUICE-1L","Mango Juice (1L)","sale","36","-1","35","Customer Sale","2026-07-24T10:46:36.264Z","2026-07-24T10:46:36.264Z"
"mov_5u4weabk5","BR-03","GRO-SUGAR-1KG","Sugar (1kg)","sale","90","-1","89","Customer Sale","2026-07-24T10:46:36.264Z","2026-07-24T10:46:36.264Z"
"mov_wp1gzcdxf","BR-03","PER-TOOTHPASTE","Toothpaste (120g)","sale","55","-1","54","Customer Sale","2026-07-24T10:46:36.264Z","2026-07-24T10:46:36.264Z"
"mov_ykknwt3l0","BR-03","PER-SHAMPOO-200ML","Shampoo (200ml)","sale","15","-1","14","Customer Sale","2026-07-24T10:46:36.264Z","2026-07-24T10:46:36.264Z"
"mov_913e1ik3m","BR-03","BEV-ENERGY-250ML","Energy Drink (250ml)","sale","110","-4","106","Customer Sale","2026-07-24T10:46:36.264Z","2026-07-24T10:46:36.264Z"
"mov_u61u9u543","BR-03","ELE-USB-32GB","USB Flash Drive 32GB","sale","55","-4","51","Customer Sale","2026-07-24T10:46:36.264Z","2026-07-24T10:46:36.264Z"
"mov_n1sc2z29e","BR-02","PER-TISSUE","Tissue Box (150s)","sale","16","-2","14","Customer Sale","2026-07-24T09:25:47.264Z","2026-07-24T09:25:47.264Z"
"mov_wvjz4znyh","BR-02","GRO-RICE-5KG","Rice (5kg)","sale","65","-2","63","Customer Sale","2026-07-24T09:25:47.264Z","2026-07-24T09:25:47.264Z"
"mov_rkl74lm0a","BR-02","GRO-TEA-900G","Tea (900g)","sale","78","-4","74","Customer Sale","2026-07-24T09:25:47.264Z","2026-07-24T09:25:47.264Z"
"mov_x7zn6gy2d","BR-02","ELE-CABLE-C","Type-C Charging Cable","sale","79","-4","75","Customer Sale","2026-07-24T09:25:47.264Z","2026-07-24T09:25:47.264Z"
"mov_6cvhkvq4c","BR-03","PER-SOAP","Hand Soap (100g)","sale","52","-3","49","Customer Sale","2026-07-31T05:22:27.264Z","2026-07-31T05:22:27.264Z"
"mov_xylqya38h","BR-03","GRO-FLOUR-10KG","Wheat Flour (10kg)","sale","119","-4","115","Customer Sale","2026-07-31T05:22:27.264Z","2026-07-31T05:22:27.264Z"
"mov_k9pr38pb4","BR-03","ELE-EARBUDS","Wireless Earbuds","sale","52","-2","50","Customer Sale","2026-07-31T05:22:27.264Z","2026-07-31T05:22:27.264Z"
"mov_qskyn01b3","BR-03","ELE-EARBUDS","Wireless Earbuds","sale","50","-1","49","Customer Sale","2026-07-31T05:22:27.264Z","2026-07-31T05:22:27.264Z"
"mov_rxkoh8dpd","BR-03","ELE-CABLE-C","Type-C Charging Cable","sale","84","-1","83","Customer Sale","2026-07-31T05:22:27.264Z","2026-07-31T05:22:27.264Z"
"mov_l0rhyleum","BR-02","ELE-USB-32GB","USB Flash Drive 32GB","sale","92","-3","89","Customer Sale","2026-08-05T09:31:04.264Z","2026-08-05T09:31:04.264Z"
"mov_pn4nc364j","BR-02","PER-SHAMPOO-200ML","Shampoo (200ml)","sale","94","-4","90","Customer Sale","2026-08-05T09:31:04.264Z","2026-08-05T09:31:04.264Z"
"mov_9gftl0htk","BR-02","GRO-TEA-900G","Tea (900g)","sale","74","-3","71","Customer Sale","2026-08-05T09:31:04.264Z","2026-08-05T09:31:04.264Z"
"mov_jpgcqhdvs","BR-02","PER-TOOTHPASTE","Toothpaste (120g)","sale","61","-3","58","Customer Sale","2026-08-05T09:31:04.264Z","2026-08-05T09:31:04.264Z"
"mov_rlrhpkljn","BR-02","ELE-CHARGER","Wall Charger (18W)","sale","82","-2","80","Customer Sale","2026-08-02T04:53:05.264Z","2026-08-02T04:53:05.264Z"
"mov_cwi30xqa5","BR-02","GRO-OIL-1L","Cooking Oil (1L)","sale","30","-2","28","Customer Sale","2026-08-02T04:53:05.264Z","2026-08-02T04:53:05.264Z"
"mov_5ahkjs9yc","BR-03","ELE-CABLE-C","Type-C Charging Cable","sale","83","-2","81","Customer Sale","2026-07-14T07:30:26.265Z","2026-07-14T07:30:26.265Z"
"mov_erahthugm","BR-03","PER-TOOTHPASTE","Toothpaste (120g)","sale","54","-4","50","Customer Sale","2026-07-14T07:30:26.265Z","2026-07-14T07:30:26.265Z"
"mov_x5umyrbdw","BR-03","PER-TOOTHPASTE","Toothpaste (120g)","sale","50","-1","49","Customer Sale","2026-07-28T03:58:39.265Z","2026-07-28T03:58:39.265Z"
"mov_tbyuycys8","BR-03","GRO-BISCUIT-FAM","Biscuits (Family Pack)","sale","102","-4","98","Customer Sale","2026-07-28T03:58:39.265Z","2026-07-28T03:58:39.265Z"
